"ASV","s.Female_Impaired","s.Female_Normal","s.Male_Impaired","s.Male_Normal","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence"
"94294af2e235e50652b9b710f15f294a",1,0,0,0,1,0.292384271107824,0.001,"d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Traorella","s__Traorella massiliensis","1.0000000"
"85251b71eee3704d009bfa0763b64f88",1,0,0,0,1,0.32125682013894,0.001,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Intestinimonas","s__Intestinimonas massiliensis","0.9620281"
"5214e8230ecb7765a5d898c2ce7f7d99",1,0,0,0,1,0.2570446148572,0.003,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Faecalimonas","s__Faecalimonas phoceensis","0.7116604"
"a6f436a998e879175ffc95425af1942d",1,0,0,0,1,0.295023961104345,0.003,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Bovifimicola","s__Bovifimicola ammoniilytica","0.9998026"
"56b419956017b04c1fd0898b14dcf7a2",0,1,0,0,2,0.287794236623766,0.009,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__Faecalibacterium prausnitzii","0.7723531"
"57a857836e8d3fd602c96fb7aee097b4",0,1,0,0,2,0.256549698574939,0.014,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__Eubacterium_R","s__Eubacterium_R sp000436835","0.9998963"
"9ed75a1580937886cdb648b270da8e65",0,1,1,0,8,0.26862946716654,0.02,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Limivicinus","s__Limivicinus sp002320035","0.9985926"
"49babac854bd10bf3b0bf960692de6ac",1,0,0,0,1,0.232238282097847,0.023,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Merdimonas",NA,"0.9952281"
"1c4046c14e24ba987f648d13dcee8b4a",0,0,1,0,3,0.236350670634338,0.027,"d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Veillonellales","f__Megasphaeraceae","g__Megasphaera_A_38685","s__Megasphaera_A_38685 massiliensis","0.9996874"
"884e2505fe4580b985a5b1dbd84b0217",0,1,1,1,14,0.246247943583586,0.027,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Onthomonas","s__","1.0000000"
"ad8cb148d12fdd8fe6c4bb11b8643cf0",1,0,0,0,1,0.215643461460295,0.032,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Ellagibacter","s__Ellagibacter isourolithinifaciens","1.0000000"
"5849bf2351dddff55ae30a1ef5778ffd",1,0,0,0,1,0.187644800767363,0.033,"d__Bacteria","p__Cyanobacteriota","c__Vampirovibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__UBA6984","s__UBA6984 sp003258725","0.9786629"
"339ad7bb8e0182caadbd8a2aaac88b5c",1,0,0,0,1,0.213408088321935,0.034,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Anaerofilum_74150","s__","0.9999992"
"91dbab746cd86e72eea32085d335d250",1,0,0,0,1,0.223495500506902,0.034,"d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Pauljensenia",NA,"0.9998502"
"659353e28aec82bb6d68dba560d6a84a",0,0,1,0,3,0.194767583847104,0.038,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales_737866","f__Enterobacteriaceae_A_725029",NA,NA,"0.9301046"
"14e7e1d9da06b808b2a5a2def3f0bac3",0,0,1,0,3,0.222570006278056,0.041,"d__Bacteria","p__Bacillota_G","c__DTU014","o__DTU014","f__DTU014","g__DTU014","s__","1.0000000"
"d261483a9d327617ddc7184648635f16",1,0,0,0,1,0.21060876174364,0.042,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__FB2012","s__FB2012 sp900604945","0.8925626"
"e6f20d38aacd94dba0ee07dff45a67c6",0,0,1,0,3,0.19230849562431,0.044,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Muricomes_149720","s__","0.7037895"
"65030e76ca6c853f06dcb313e98944be",0,1,0,0,2,0.215425291460531,0.045,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__COE1","s__","0.9999512"
"f0d351904dda41db1515de52eadac29d",0,0,1,0,3,0.191040993304558,0.046,"d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Faecalitalea","s__Faecalitalea cylindroides","0.9999965"
"2ac0723902b255b9e757e0e0e3aa5625",0,0,0,1,4,0.21106291170355,0.049,"d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A_39470","s__Phascolarctobacterium_A_39470 succinatutens_B","0.9998249"
