"ASV","s.Female_Mild","s.Female_Moderate","s.Male_Mild","s.Male_Moderate","s.Male_Severe","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence"
"ac79266fe73f5c640102025f73bfb0e4",0,0,0,0,1,5,0.977202092484942,0.004,"d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Veillonellales","f__Dialisteraceae","g__Allisonella","s__Allisonella histaminiformans","0.9871367"
"8f44589216247f083d6ebca4b75f8dcc",0,0,0,0,1,5,0.936793799605338,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__Butyricimonas paravirosa","0.8550605"
"3f815af7ffc5e71f9205177b8e113ca0",0,0,0,0,1,5,0.998673677695075,0.007,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Lepagella","s__Lepagella muris_A","0.9991734"
"ed7ba70b18b923befaa681c7d9344125",0,0,0,0,1,5,0.975556836745195,0.007,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia_D","s__Roseburia_D yibonii","0.9939199"
"0f6a347633b7f4d1244f1f2d792529a0",0,0,0,0,1,5,0.695504712742151,0.013,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Huintestinicola","s__Huintestinicola butyrica","1.0000000"
"045ddf8cc5e3183e94bf78c5ecc3247d",0,0,0,0,1,5,0.974804051975796,0.017,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__CAG-488","s__CAG-488 sp002449395","0.9999934"
"8d25eb5fdfac8470e166af75ddb44b05",0,0,0,0,1,5,0.907628419629737,0.019,"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium_C",NA,"1.0000000"
"d261483a9d327617ddc7184648635f16",0,1,0,0,0,2,0.458446756111704,0.024,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__FB2012","s__FB2012 sp900604945","0.8925626"
"e6c61ffc66514876a5ac4daf56b93be1",0,1,0,0,1,12,0.574244447195732,0.025,"d__Bacteria","p__Bacillota_C","c__Negativicutes",NA,NA,NA,NA,"0.9217200"
"bcae70e9b353e16b1efe12af6fde5132",0,0,0,0,1,5,0.828566994400407,0.026,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella_B","s__Barnesiella_B intestinihominis","0.9999992"
"46336a1701a89a6808234ad2b378e527",0,1,0,0,0,2,0.458831467741124,0.027,"d__Bacteria","p__Spirochaetota","c__Brachyspirae","o__Brachyspirales","f__Brachyspiraceae","g__Brachyspira","s__Brachyspira aalborgi","0.9999991"
"5849bf2351dddff55ae30a1ef5778ffd",0,1,0,0,0,2,0.442641486462346,0.027,"d__Bacteria","p__Cyanobacteriota","c__Vampirovibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__UBA6984","s__UBA6984 sp003258725","0.9786629"
"13c4d2437e3b932e1de8bc0596fe6bd8",0,1,0,0,0,2,0.458831467741123,0.029,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Cellulosilyticaceae","g__Cellulosilyticum","s__Cellulosilyticum lentocellum","0.9964886"
"12fb561e5cfb47d6802a6a4fa4058ec3",0,1,0,0,0,2,0.458831467741123,0.029,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Acetivibrionales",NA,NA,NA,"0.9070412"
"ec3408f8cb9d0be6d4f04afad3550d7c",0,0,0,0,1,5,0.600909376182981,0.032,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinilabiliaceae","g__JC017","s__JC017 sp004296775","0.7606843"
"e71edca47d6f0707f67f0aa0cbece9b6",0,1,0,0,0,2,0.455219226028285,0.033,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenella","s__Rikenella microfusus","0.9999950"
"89e3ad82b4307fb0673922d29f33250e",0,0,0,0,1,5,0.658993119240627,0.035,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Hominicoprocola","s__Hominicoprocola fusiformis","0.9982729"
"6b9335ca48fd3882a68832fafd1c3c95",0,0,0,0,1,5,0.593247937692362,0.037,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__CAG-917","g__CAG-475","s__CAG-475 sp900548005","0.9999995"
"94d5c2c2f9432927d7faf1b376da1e34",0,0,0,0,1,5,0.818479869547022,0.037,"d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__RF39","f__UBA660","g__UMGS1449","s__UMGS1449 sp902797995","0.9999999"
"f0d4bed0aed26e1104ba2fc752beb3dd",0,0,0,0,1,5,0.576602380080532,0.04,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__Eubacterium_J","s__Eubacterium_J plexicaudatum","0.9999697"
"7ae47d28a45cddf1ed314bdf1d552fbe",0,0,0,0,1,5,0.813475420389483,0.041,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Oscillibacter","s__Oscillibacter ruminantium","0.9226314"
"5d9deb563fc39a9e71da3207afcef382",0,1,0,0,0,2,0.43565408966847,0.046,"d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Christensenellales","f__CAG-138","g__RUG472","s__RUG472 sp902765005","0.9691200"
